City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,codrington,-38.2667,141.9667,11.81,50,100,5.78,AU,1692195184
123,peskovka,59.0448,52.3606,24.44,65,91,1.19,RU,1692195185
124,shenkursk,62.1091,42.896,24.25,49,27,1.73,RU,1692195185
125,acarau,-2.8856,-40.12,30.59,50,28,7.14,BR,1692195186
126,luba,3.4568,8.5547,25.77,89,67,5.04,GQ,1692195187
127,sandnessjoen,66.0217,12.6316,16.29,88,75,2.57,NO,1692195187
128,puerto baquerizo moreno,-0.9,-89.6,24.55,83,75,6.17,EC,1692195170
129,kapuskasing,49.4169,-82.4331,17.05,77,100,2.06,CA,1692195189
130,tabou,4.423,-7.3528,27.07,65,95,2.81,CI,1692195190
131,walvis bay,-22.9575,14.5053,15.05,64,11,9.21,NA,1692195190
132,kavaratti,10.5669,72.642,27.87,75,16,6.78,IN,1692195191
133,heroica caborca,30.7167,-112.15,32.39,36,12,1.55,MX,1692195192
134,la ronge,55.1001,-105.2842,15.14,77,75,7.2,CA,1692195193
135,petropavlovsk-kamchatsky,53.0452,158.6483,14.32,76,76,5.28,RU,1692195193
136,haiku-pauwela,20.9219,-156.3051,23.01,83,75,1.54,US,1692195194
137,san patricio,28.017,-97.5169,31.03,65,100,1.41,US,1692195194
138,bulawayo,-20.15,28.5833,23.62,22,0,6.21,ZW,1692195195
139,charters towers,-20.1,146.2667,15.06,59,84,4.47,AU,1692195195
140,iskateley,67.6803,53.1512,20.05,67,6,4.95,RU,1692195196
141,dalandzadgad,43.5708,104.425,19.33,50,7,6.57,MN,1692195197
142,anadyr,64.75,177.4833,13.89,71,0,3.0,RU,1692195197
143,luderitz,-26.6481,15.1594,15.0,71,25,3.17,NA,1692195198
144,abaza,52.655,90.0928,11.68,77,6,1.18,RU,1692195199
145,karimganj,24.8667,92.35,26.72,93,100,0.42,IN,1692195199
146,puerto deseado,-47.7503,-65.8938,1.62,66,9,2.46,AR,1692195200
147,avarua,-21.2078,-159.775,23.03,73,40,3.6,CK,1692195202
148,terbanggi besar,-4.8667,105.2333,24.56,81,57,2.85,ID,1692195204
149,manzanillo,20.3433,-77.1167,28.64,75,88,2.24,CU,1692195205
150,nuku'alofa,-21.1333,-175.2,20.19,94,100,3.09,TO,1692195205
151,grootfontein,-19.5667,18.1167,28.68,10,2,4.02,NA,1692195206
152,lihue,21.9789,-159.3672,26.77,78,75,5.66,US,1692195214
153,san antonio de pale,-1.4014,5.6325,23.51,86,84,4.2,GQ,1692195218
154,necochea,-38.5473,-58.7368,9.47,74,100,10.01,AR,1692195219
155,manfalut,27.3104,30.97,35.14,17,0,7.09,EG,1692195220
156,puerto aysen,-45.4,-72.7,0.21,96,100,2.34,CL,1692195220
157,hondarribia,43.372,-1.7945,25.92,73,75,2.57,ES,1692195221
158,bethel,41.3712,-73.414,21.54,89,100,1.54,US,1692195222
159,murun-kuren,49.6342,100.1625,11.73,62,86,2.17,MN,1692195227
160,aasiaat,68.7098,-52.8699,3.27,80,61,4.9,GL,1692195228
161,obock,12.25,43.0833,36.07,26,49,2.67,DJ,1692195228
162,tadine,-21.55,167.8833,17.85,67,0,3.82,NC,1692195229
163,carutapera,-1.195,-46.02,30.28,60,97,4.96,BR,1692195010
164,tutong,4.8,114.65,27.05,81,100,1.21,BN,1692195230
165,saipan,15.1355,145.701,27.58,100,20,0.45,MP,1692195231
166,taltal,-25.4,-70.4833,16.79,73,22,2.15,CL,1692195231
167,kilindoni,-7.9139,39.6668,25.62,74,6,5.93,TZ,1692195232
168,nizhnesortymskiy,62.4397,71.7603,18.08,52,4,5.45,RU,1692195232
169,bam,29.106,58.357,32.46,5,3,4.84,IR,1692195233
170,baiti,13.745,-14.7482,25.96,86,100,4.45,SN,1692195233
171,jamestown,42.097,-79.2353,21.68,85,100,1.54,US,1692194939
172,queenstown,-31.8976,26.8753,23.85,18,100,5.96,ZA,1692195234
173,tazovsky,67.4667,78.7,10.92,64,0,4.44,RU,1692195235
174,atafu village,-8.5421,-172.5159,28.64,71,45,8.42,TK,1692195236
175,catriel,-37.8791,-67.7956,10.78,55,98,5.35,AR,1692195237
176,kudahuvadhoo,2.6708,72.8944,28.18,62,97,1.19,MV,1692195237
177,susuman,62.7833,148.1667,12.9,83,100,2.03,RU,1692195238
178,qaqortoq,60.7167,-46.0333,8.24,82,22,2.32,GL,1692195238
179,pala,9.3642,14.9046,32.46,52,96,2.09,TD,1692195239
180,magdagachi,53.45,125.8,17.76,87,49,0.77,RU,1692195240
181,soligalich,59.0778,42.2864,23.68,55,92,2.94,RU,1692195240
182,dunedin,-45.8742,170.5036,7.67,65,48,4.02,NZ,1692195241
